source_id,year,title,category,drive_url,source_class,evidence_level,canonical_url,ingest_status,public_policy,next_action
MTP-2004-WESCO,2004,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/11i1333800iOme3z56PbW_5fz3TSmSvKh/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Whitney Tilson attribution and locate corroborating notes
MTP-2005-WESCO,2005,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1mZXEXU-p-mqkay73J_taE6zdaEpbDM4j/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Whitney Tilson attribution and locate corroborating notes
MTP-2006-WESCO,2006,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1Zs8Hz8G7UDp4PUMcJFMs4weSDJV4BTbv/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Whitney Tilson attribution and locate corroborating notes
MTP-2007-USC,2007,USC Gould School of Law commencement,speech,https://drive.google.com/file/d/1ol7ZE3cJIY20yfLgvv_krIz0Y3Fj66xR/view,unattributed_transcript,D-lead,,needs_source,link_and_excerpt,Locate USC official video or transcript and record exact date
MTP-2007-WESCO,2007,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1Y8zBuVInl4xFTjy9od2Q6IVP4vjAgjCt/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Whitney Tilson attribution and locate corroborating notes
MTP-2008-WESCO,2008,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1lfdWWYTpP307NFRO1RVna1ydUiHDV3C3/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Peter Boodell attribution and locate corroborating notes
MTP-2009-WESCO,2009,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1aIhLfnVbEo2-mOUdBAF0NkrTtYoBX9on/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Peter Boodell attribution and locate corroborating notes
MTP-2010-WESCO,2010,Wesco annual meeting notes,meeting,https://drive.google.com/file/d/1avpmFUPoQTrfgvuLNRV8VQ38r695FWc2/view,unattributed_notes,D-lead,,needs_source,link_and_excerpt,Identify note taker and original publication
MTP-2011-WESCO,2011,Wesco annual meeting conversation notes,meeting,https://drive.google.com/file/d/1-5E1LK7oZyhXZwx99iz30Oh7ibJY5i6f/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve The Inoculated Investor attribution and do not label as verbatim
MTP-2013-DJCO,2013,Daily Journal annual meeting notes,meeting,https://drive.google.com/file/d/1G-thshGAkTISAQzQVstktutvthgYB2xm/view,unattributed_notes,D-lead,,needs_source,link_and_excerpt,Identify note taker and search for recording
MTP-2014-DJCO,2014,Daily Journal annual meeting notes,meeting,https://drive.google.com/file/d/1Mb8LRjxSx076TC1XW3dV7ClHCiwkM1kU/view,unattributed_notes,D-lead,,needs_source,link_and_excerpt,Identify note taker and search for recording
MTP-2014-BERKSHIRE,2014,Vice Chairman's Thoughts Past and Future,letter,,official_document,A-primary,https://www.berkshirehathaway.com/letters/2014ltr.pdf,verified_sample,link_and_excerpt,One verified excerpt exists; use official report pages 39 through 42 for further units
MTP-2014-BERKSHIRE-ZH,2014,芒格伯克希尔50周年评论,translation,https://drive.google.com/file/d/1Fwptpnso6UFFtrPQg9vZrzkKq_WdNR7l/view,third_party_translation,D-lead,https://www.berkshirehathaway.com/letters/2014ltr.pdf,needs_source,metadata_only,Align Chinese translation sentence by sentence and record translator and defects
MTP-2015-DJCO,2015,Daily Journal annual meeting notes,meeting,https://drive.google.com/file/d/1lWUZdZ-DY8GNBsNyC9MABvwa0hAh_DRK/view,named_notes,C-named-notes,,ready_candidate,link_and_excerpt,Preserve Forbes attribution and locate recording if available
MTP-2016-DJCO,2016,Daily Journal annual meeting transcript,meeting,https://drive.google.com/file/d/1z4DrRxY59NcK-JQFiYgRGxXjQCAyoNFF/view,named_transcript,B-traceable-transcript,,needs_source,link_and_excerpt,Locate surviving audio and align Latticework transcript
MTP-2017-MICHIGAN,2017,A Conversation with Charlie Munger at Michigan Ross,interview,https://drive.google.com/file/d/1gJ54vB8S54pY9cPvVj69xHIrdaECIiZh/view,official_context_plus_transcript,B-traceable-transcript,https://www.youtube.com/watch?v=S9HgIGzOENA,verified_sample,link_and_excerpt,One verified B-level excerpt exists; align further units to exact video timestamps
MTP-2017-DJCO,2017,Daily Journal annual meeting transcript,meeting,https://drive.google.com/file/d/1v1K6ZUTQWC_uDHNKjkR1wvTL1oqN05fQ/view,named_transcript,B-traceable-transcript,,needs_source,link_and_excerpt,Locate CNBC or Daily Journal recording and align Santangel transcript
MTP-2017-DJCO-FIRESIDE,2017,Daily Journal post-meeting fireside chat,meeting,https://drive.google.com/file/d/1STbvfAO1g1VarU0DYRciTBocc7-B6ny-/view,named_transcript,B-traceable-transcript,,needs_source,link_and_excerpt,Locate recording and align Latticework transcript
MTP-2018-DJCO,2018,Daily Journal annual meeting transcript,meeting,https://drive.google.com/file/d/1xpkXfHDs1faJQRNYw6l8JaJ7XrROuyuJ/view,unattributed_transcript,D-lead,,needs_source,link_and_excerpt,Identify transcriber and locate broadcaster recording
MTP-2019-WSJ,2019,Charlie Munger Unplugged,interview,https://drive.google.com/file/d/1hr-dGEMVV4i098DFfpFSACCRu3w_uzmq/view,publisher_transcript,B-traceable-transcript,,needs_source,link_and_excerpt,Locate original Wall Street Journal interview page and verify transcript completeness
MTP-2019-DJCO,2019,Daily Journal annual meeting transcript,meeting,https://drive.google.com/file/d/1_QylVYAZKyHaeT-GLceY9p7GZNXSvwaW/view,unattributed_transcript,B-traceable-transcript,https://www.youtube.com/watch?v=X1Oi3esiry8,needs_source,link_and_excerpt,Verify broadcaster channel and align transcript to video
MTP-2020-CALTECH,2020,A Conversation with Distinguished Alumnus Charles T Munger,interview,https://drive.google.com/file/d/1W4qYP7gxs3-4BTnuMjJtkQn8ZFwznbpB/view,official_context_plus_transcript,B-traceable-transcript,https://www.caltech.edu/campus-life-events/calendar/a-conversation-with-distinguished-alumnus-charles-t-munger-cert-44-cavu-89623,needs_source,link_and_excerpt,Locate Caltech official YouTube recording and align transcript
MTP-2020-DJCO,2020,Daily Journal annual meeting transcript,meeting,https://drive.google.com/file/d/1sfESOfIN8nKjDvMjpHL0R06YXw5zTbqj/view,broadcaster_recording_plus_transcript,A-primary,https://www.youtube.com/watch?v=HS8neXkNnhw,verified_sample,link_and_excerpt,One verified B-level text excerpt exists; align it to CNBC video before upgrading the excerpt
MTP-2021-DJCO,2021,Daily Journal annual meeting transcript,meeting,https://drive.google.com/file/d/1BfhHindyouBgO0qFF9BKsS6P6v49hArA/view,broadcaster_recording_plus_transcript,A-primary,https://www.youtube.com/watch?v=Pp4CvjNw-9Y,ready_candidate,link_and_excerpt,Align transcript to Yahoo Finance video and add timestamps
MTP-2022-DJCO,2022,Daily Journal annual meeting transcript,meeting,https://drive.google.com/file/d/1DxLIX7y5NoZQMRVqLq7YayU7RbnyRu-j/view,named_transcript,B-traceable-transcript,https://worldlypartners.com/wp-content/uploads/2024/01/2022-daily-journal-corp-annual-meeting-transcript-of-charlie-mungers-remarks.pdf,needs_source,link_and_excerpt,Locate original full meeting video and note that questions were summarized
MTP-2022-SINGLETON,2022,Singleton Prize conversation with Todd Combs,interview,https://drive.google.com/file/d/1dD3jY2oJJQAbHec59Om3ZqXC0uC9S8pK/view,unattributed_transcript,D-lead,,needs_source,link_and_excerpt,Locate official prize event recording and publisher
MTP-2023-DJCO,2023,Daily Journal annual meeting transcript,meeting,https://drive.google.com/file/d/1F3-nkDy9OwOskbWfxkgZj83cR-oDNGGX/view,broadcaster_recording_plus_transcript,A-primary,https://www.youtube.com/watch?v=9VVPO3KWj3A,verified_sample,link_and_excerpt,One verified B-level text excerpt exists; align it to the broadcaster video before upgrading the excerpt
MTP-2023-ACQUIRED,2023,Charlie Munger on Acquired,podcast,,official_recording,A-primary,https://www.youtube.com/watch?v=w6qRb171cog,missing_local,link_and_excerpt,Record official transcript URL and decide whether a private reference copy is needed
MTP-BOOK-01,,芒格之道,book,https://drive.google.com/file/d/16RNn20cRvxL81BeQ0se_Vxaew_xDW39Y/view,secondary_book,D-lead,,reference_only,metadata_only,Record author publisher edition ISBN and copyright
MTP-BOOK-02,,穷查理宝典 查理芒格的智慧箴言录,book,https://drive.google.com/file/d/1sPecCcgIk5i7sn-MWcr-bRAzg36Gpjpt/view,secondary_book,D-lead,,reference_only,metadata_only,Identify edition because current filename says unknown
MTP-BOOK-03,,查理芒格的智慧 原书第2版,book,https://drive.google.com/file/d/1O-qex06CwL31qKE-5LSDvxbhiRUMId7D/view,secondary_book,D-lead,,reference_only,metadata_only,Record author publisher edition ISBN and copyright
MTP-BOOK-04,,查理芒格的投资逻辑,book,https://drive.google.com/file/d/1t-itJm9QBTKYZUzbmAW-JlswP1WPIwBh/view,secondary_book,D-lead,,reference_only,metadata_only,Record author publisher edition ISBN and copyright
MTP-BOOK-05,,查理芒格传 巴菲特幕后智囊,book,https://drive.google.com/file/d/1vbCv_00knirUkencHDgjEEgP9t_0fDFM/view,secondary_book,D-lead,,reference_only,metadata_only,Record author publisher edition ISBN and copyright
MTP-BOOK-06,,查理芒格的原则 关于投资与人生的智慧箴言,book,https://drive.google.com/file/d/1-YCgVrsxAApo5zRG6eChNU6dtCnPVAua/view,secondary_book,D-lead,,reference_only,metadata_only,Record author publisher edition ISBN and copyright
MTP-BOOK-07,,巴菲特和查理芒格内部讲话,book,https://drive.google.com/file/d/1aPGF3BqPbuU6HM458INWgcvHQGrC-Gno/view,secondary_book,D-lead,,reference_only,metadata_only,Record author publisher edition ISBN and copyright
MTP-BOOK-08,,查理芒格的投资思想,book,https://drive.google.com/file/d/15QmuQrLIRUM6072_tlyI88CrAoNnAzj0/view,secondary_book,D-lead,,reference_only,metadata_only,Record author publisher edition ISBN and copyright
